"1N4148"
V 0.3000 I 0.000000 
V 0.3100 I 0.000000 
V 0.3200 I 0.000000 
V 0.3300 I 0.000000 
V 0.3400 I 0.000000 
V 0.3500 I 0.000010 
V 0.3600 I 0.000010 
V 0.3700 I 0.000010 
V 0.3800 I 0.000010 
V 0.3900 I 0.000010 
V 0.4000 I 0.000010 
V 0.4100 I 0.000020 
V 0.4200 I 0.000020 
V 0.4300 I 0.000020 
V 0.4400 I 0.000030 
V 0.4500 I 0.000030 
V 0.4600 I 0.000040 
V 0.4700 I 0.000050 
V 0.4800 I 0.000060 
V 0.4900 I 0.000070 
V 0.5000 I 0.000090 
V 0.5100 I 0.000100 
V 0.5200 I 0.000120 
V 0.5300 I 0.000140 
V 0.5400 I 0.000170 
V 0.5500 I 0.000200 
V 0.5600 I 0.000220 
V 0.5700 I 0.000260 
V 0.5800 I 0.000290 
V 0.5900 I 0.000330 
V 0.6000 I 0.000370 
V 0.6100 I 0.000410 
V 0.6200 I 0.000460 
V 0.6300 I 0.000510 
V 0.6400 I 0.000560 
V 0.6500 I 0.000610 
V 0.6600 I 0.000660 
V 0.6700 I 0.000720 
V 0.6800 I 0.000780 
V 0.6900 I 0.000840 
V 0.7000 I 0.000900 
V 0.7100 I 0.000970 
V 0.7200 I 0.000980 
V 0.7300 I 0.001040 
V 0.7400 I 0.001110 
V 0.7500 I 0.001170 
V 0.7600 I 0.001240 
V 0.7700 I 0.001310 
V 0.7800 I 0.001380 
V 0.7900 I 0.001470 
V 0.8000 I 0.001550 
V 0.8100 I 0.001540 
V 0.8200 I 0.001610 
V 0.8300 I 0.001690 
V 0.8400 I 0.001780 
V 0.8500 I 0.001860 
V 0.8600 I 0.001940 
V 0.8700 I 0.002020 
V 0.8800 I 0.002100 
V 0.8900 I 0.002180 
V 0.9000 I 0.002270 
V 0.9100 I 0.002350 
V 0.9200 I 0.002430 
V 0.9300 I 0.002520 
V 0.9400 I 0.002620 
V 0.9500 I 0.002710 
V 0.9600 I 0.002810 
V 0.9700 I 0.002910 
V 0.9800 I 0.003010 
V 0.9900 I 0.003110 
V 1.0000 I 0.003220 
V 1.0100 I 0.003310 
V 1.0200 I 0.003420 
V 1.0300 I 0.003540 
V 1.0400 I 0.003630 
V 1.0500 I 0.003780 
V 1.0600 I 0.003920 
V 1.0700 I 0.004120 
V 1.0800 I 0.004430 
V 1.0900 I 0.004610 
V 1.1000 I 0.004830 
V 1.1100 I 0.005340 
V 1.1200 I 0.006000 
V 1.1300 I 0.006000 
